date,z_sf_L1,z_sf_L2,z_sf_L3,z_fs_L1,z_fs_L2,z_fs_L3,z_sf,z_fs,p_high_fs,p_high_sf
2020-07-08,18.588849139653718,16.712355876759602,14.374078686387199,17.70659877020722,16.2670686185985,14.182736127453259,16.558427900933506,16.052134505419662,3.622719097685738e-05,6.69157581979355e-05
2020-07-15,17.53081239446016,15.799718421519545,13.684617092301744,16.816916602005932,15.450061738839496,13.533057259184007,15.671715969427149,15.266678533343145,4.0589158817077257e-07,7.261834015504793e-07
2020-07-22,17.077895603901638,15.114966762856746,13.30400358936025,16.479085008986743,14.851462666585613,13.181848261784097,15.165621985372878,14.837465312452151,2.6014509001137463e-07,4.3281326476726564e-07
2020-07-29,16.873934840855988,14.736850849457507,12.969018792048312,16.35267458621298,14.513513482634197,12.86832719867612,14.859934827453936,14.5781717558411,2.0438968589410277e-07,3.3278337607204323e-07
2020-08-05,16.902148278957515,14.478550584924466,12.750259645872774,16.414676699356985,14.27929570340935,12.663992659911246,14.710319503251585,14.452655020892527,2.0086074013722916e-07,3.2648710780161705e-07
2020-08-12,16.811583677123206,14.287113683625618,12.545438093473956,16.350020520301808,14.11398531730126,12.475081064872834,14.548045151407592,14.313028967491967,2.0086455564188595e-07,3.2649016502116473e-07
2020-08-19,17.14113746410493,14.634475326370804,12.87397931041735,16.699490423220475,14.464292104925043,12.80957623000801,14.883197366964362,14.657786252717843,2.2006243041525682e-07,3.3954032924103753e-07
2020-08-26,18.2789413477473,15.537257856831344,13.726314315931125,17.791445223732158,15.366600048214268,13.66145018165314,15.847504506836591,15.60649848453319,5.448151472595293e-07,7.984731834143421e-07
2020-09-02,18.81086539321868,16.14124705074879,14.451926810627695,18.304122087346382,15.955852270699534,14.370996570790478,16.468013084865056,16.210323642945465,9.976804911321995e-07,1.4380415447673438e-06
2020-09-10,18.291734339405906,16.191496761418247,14.796622419686434,17.81335693370338,15.998522635473329,14.709031630479426,16.4266178401702,16.173637066552047,9.613979266143574e-07,1.3819721153699211e-06
